online_order,book_table,rate,votes,location,rest_type,approx_cost(for two people),listed_in(type)
Yes,No,3.8 /5,108,Koramangala 6th Block,Quick Bites,400,Cafes
Yes,No,4.1 /5,507,Koramangala 6th Block,Cafe,600,Cafes
Yes,Yes,4.1 /5,152,Koramangala 6th Block,Quick Bites,600,Cafes
No,No,2.8 /5,227,Koramangala 6th Block,Cafe,450,Cafes
No,No,2.9 /5,12,Koramangala 6th Block,Cafe,500,Cafes
No,No,3.6 /5,54,Koramangala 6th Block,"Beverage Shop, Quick Bites",250,Cafes
No,No,4.7 /5,14717,Koramangala 5th Block,"Cafe, Casual Dining",900,Cafes
No,No,4.6 /5,7127,Koramangala 4th Block,Cafe,600,Cafes
No,No,4.5 /5,3847,Koramangala 5th Block,Cafe,800,Cafes
Yes,Yes,4.4 /5,9080,Koramangala 4th Block,"Casual Dining, Cafe",600,Cafes
No,No,4.1 /5,2734,Koramangala 5th Block,Cafe,1300,Cafes
No,No,4.4 /5,1225,Koramangala 4th Block,Cafe,800,Cafes
Yes,No,4.0 /5,76,Koramangala 8th Block,Cafe,400,Cafes
No,No,4.4 /5,174,Koramangala 5th Block,"Cafe, Dessert Parlor",600,Cafes
Yes,Yes,4.1 /5,1855,Koramangala 1st Block,Cafe,600,Cafes
Yes,No,4.3 /5,2873,Koramangala 5th Block,Cafe,600,Cafes
Yes,No,4.1 /5,3006,Koramangala 1st Block,Cafe,1000,Cafes
No,Yes,4.3 /5,1471,Koramangala 5th Block,Cafe,800,Cafes
Yes,Yes,4.4 /5,192,Koramangala 3rd Block,Cafe,1000,Cafes
Yes,Yes,4.3 /5,1808,Koramangala 5th Block,"Casual Dining, Cafe",900,Cafes
No,No,4.1 /5,314,Koramangala 4th Block,Cafe,600,Cafes
Yes,No,4.5 /5,2621,Koramangala 5th Block,"Dessert Parlor, Cafe",500,Cafes
Yes,Yes,4.4 /5,208,Koramangala 5th Block,Cafe,800,Cafes
Yes,No,4.4 /5,950,Koramangala 5th Block,Cafe,900,Cafes
Yes,Yes,4.2 /5,505,Koramangala 5th Block,Cafe,800,Cafes
Yes,No,4.6 /5,1026,Koramangala 7th Block,"Cafe, Dessert Parlor",550,Cafes
Yes,Yes,4.4 /5,467,Koramangala 4th Block,Cafe,800,Cafes
No,Yes,4.5 /5,550,Koramangala 5th Block,Cafe,900,Cafes
Yes,No,3.8 /5,23,Koramangala 5th Block,Cafe,600,Cafes
No,No,4.3 /5,295,Koramangala 4th Block,Cafe,850,Cafes
Yes,Yes,4.0 /5,1515,Koramangala 3rd Block,Cafe,900,Cafes
Yes,No,4.5 /5,345,Koramangala 5th Block,"Dessert Parlor, Cafe",300,Cafes
No,No,4.1 /5,1359,Koramangala 7th Block,Cafe,700,Cafes
Yes,No,4.2 /5,169,Koramangala 4th Block,Cafe,700,Cafes
No,No,4.0 /5,431,Koramangala 5th Block,Cafe,,Cafes
Yes,Yes,4.2 /5,875,Koramangala 5th Block,Cafe,600,Cafes
Yes,Yes,4.0 /5,1241,Koramangala 4th Block,Cafe,700,Cafes
Yes,No,4.2 /5,1065,Koramangala 5th Block,Cafe,800,Cafes
Yes,No,4.1 /5,894,Koramangala 3rd Block,Cafe,800,Cafes
Yes,No,4.1 /5,141,Koramangala 5th Block,Cafe,1200,Cafes
Yes,No,4.1 /5,306,Koramangala 7th Block,Cafe,600,Cafes
Yes,Yes,4.1 /5,402,Koramangala 5th Block,"Cafe, Bar",1200,Cafes
Yes,Yes,4.2 /5,1705,Koramangala 5th Block,Cafe,650,Cafes
Yes,No,3.6 /5,16,Koramangala 5th Block,Cafe,500,Cafes
Yes,No,4.1 /5,779,Koramangala 1st Block,Cafe,700,Cafes
Yes,No,4.2 /5,100,Koramangala 7th Block,"Dessert Parlor, Cafe",900,Cafes
Yes,No,4.3 /5,480,Koramangala 5th Block,Cafe,450,Cafes
No,No,4.2 /5,226,Koramangala 2nd Block,Cafe,200,Cafes
Yes,No,3.6 /5,32,Koramangala 7th Block,Cafe,500,Cafes
Yes,No,4.0 /5,66,Koramangala 4th Block,"Cafe, Casual Dining",700,Cafes
No,No,4.1 /5,172,Koramangala 7th Block,Cafe,650,Cafes
Yes,No,3.7 /5,24,Koramangala 7th Block,Cafe,550,Cafes
Yes,No,4.1 /5,93,Koramangala 5th Block,Cafe,600,Cafes
Yes,No,4.1 /5,61,Koramangala 2nd Block,Cafe,600,Cafes
No,No,3.8 /5,47,Koramangala 5th Block,Cafe,600,Cafes
Yes,No,4.0 /5,201,Koramangala 5th Block,Cafe,800,Cafes
No,No,4.1 /5,324,Koramangala 7th Block,Cafe,700,Cafes
No,No,4.0 /5,1209,Koramangala 4th Block,Cafe,650,Cafes
No,No,4.1 /5,367,Koramangala 7th Block,Cafe,350,Cafes
No,No,3.8 /5,291,Koramangala 8th Block,"Dessert Parlor, Cafe",500,Cafes
Yes,No,4.2 /5,414,Koramangala 5th Block,Cafe,700,Cafes
No,No,3.5 /5,66,Koramangala 5th Block,Cafe,300,Cafes
No,No,3.8 /5,63,Koramangala 7th Block,"Cafe, Bakery",600,Cafes
No,No,4.0 /5,236,Koramangala 4th Block,Cafe,500,Cafes
No,No,3.8 /5,27,Koramangala 4th Block,Cafe,450,Cafes
Yes,No,3.8 /5,22,Koramangala 5th Block,Cafe,500,Cafes
Yes,Yes,4.4 /5,103,Koramangala 8th Block,Cafe,700,Cafes
Yes,No,4.0 /5,275,Koramangala 3rd Block,Cafe,500,Cafes
No,No,4.3 /5,139,Koramangala 5th Block,Cafe,800,Cafes
Yes,No,3.5 /5,14,Koramangala 1st Block,Cafe,500,Cafes
No,No,,0,Koramangala 7th Block,Cafe,500,Cafes
No,No,,0,Koramangala 1st Block,Cafe,400,Cafes
No,No,3.7 /5,46,Koramangala 1st Block,Cafe,600,Cafes
No,No,3.6 /5,17,Koramangala 7th Block,Cafe,300,Cafes
No,No,3.3 /5,4,Koramangala 4th Block,Cafe,400,Cafes
No,No,3.2 /5,4,Koramangala 4th Block,Cafe,600,Cafes
Yes,No,3.8 /5,230,Koramangala 1st Block,Cafe,600,Cafes
Yes,No,2.7 /5,26,Koramangala 5th Block,Cafe,600,Cafes
Yes,No,3.7 /5,52,Koramangala 4th Block,Cafe,450,Cafes
Yes,No,NEW,0,Koramangala 7th Block,Cafe,300,Cafes
Yes,Yes,4.5 /5,1879,BTM,Cafe,900,Cafes
No,Yes,4.0 /5,1778,Domlur,"Lounge, Cafe",1600,Cafes
Yes,No,3.7 /5,28,BTM,Cafe,400,Cafes
Yes,No,3.6 /5,42,BTM,Cafe,600,Cafes
Yes,No,3.2 /5,6,BTM,Beverage Shop,200,Cafes
Yes,No,,0,BTM,Cafe,200,Cafes
No,No,,0,Domlur,Cafe,,Cafes
Yes,No,,0,BTM,Beverage Shop,200,Cafes
Yes,Yes,3.7 /5,49,BTM,Cafe,300,Cafes
No,No,3.6 /5,61,BTM,Cafe,500,Cafes
No,No,3.6 /5,22,BTM,Cafe,500,Cafes
No,No,3.5 /5,11,Domlur,"Cafe, Dessert Parlor",400,Cafes
No,No,3.7 /5,31,BTM,Cafe,500,Cafes
No,No,3.8 /5,63,BTM,Cafe,500,Cafes
Yes,No,4.1 /5,327,Koramangala 1st Block,Delivery,450,Delivery
Yes,No,4.0 /5,120,BTM,Quick Bites,250,Delivery
Yes,No,4.5 /5,1193,BTM,Delivery,500,Delivery
Yes,No,3.9 /5,585,Koramangala,Delivery,450,Delivery
Yes,No,3.8 /5,340,BTM,Casual Dining,800,Delivery
Yes,No,4.4 /5,107,Koramangala,Delivery,400,Delivery
Yes,No,4.0 /5,996,HSR,Casual Dining,800,Delivery
Yes,No,3.9 /5,306,Domlur,Quick Bites,300,Delivery
Yes,No,4.2 /5,1295,BTM,Casual Dining,900,Delivery
Yes,No,4.0 /5,208,BTM,"Sweet Shop, Quick Bites",200,Delivery
Yes,No,3.3 /5,911,Koramangala 1st Block,Quick Bites,250,Delivery
Yes,No,4.3 /5,169,HSR,Delivery,400,Delivery
Yes,No,4.0 /5,58,HSR,"Takeaway, Delivery",250,Delivery
Yes,No,4.3 /5,193,Koramangala 6th Block,Quick Bites,300,Delivery
Yes,No,4.4 /5,115,Koramangala 6th Block,"Takeaway, Delivery",600,Delivery
Yes,No,3.4 /5,154,BTM,Quick Bites,400,Delivery
Yes,No,4.5 /5,563,BTM,Dessert Parlor,400,Delivery
Yes,No,4.0 /5,358,Koramangala 8th Block,Delivery,650,Delivery
Yes,No,3.9 /5,47,HSR,"Takeaway, Delivery",300,Delivery
Yes,No,4.3 /5,171,Koramangala 5th Block,Quick Bites,500,Delivery
Yes,No,4.1 /5,506,Koramangala 4th Block,Quick Bites,600,Delivery
Yes,No,3.8 /5,377,BTM,Quick Bites,500,Delivery
No,No,3.9 /5,626,Koramangala 5th Block,Casual Dining,600,Delivery
Yes,No,3.5 /5,739,BTM,Casual Dining,600,Delivery
Yes,No,3.8 /5,342,HSR,Quick Bites,400,Delivery
Yes,No,3.8 /5,257,BTM,Casual Dining,800,Delivery
Yes,No,4.1 /5,391,Koramangala 1st Block,"Takeaway, Delivery",500,Delivery
Yes,No,3.7 /5,455,HSR,"Takeaway, Delivery",400,Delivery
Yes,No,2.8 /5,213,Old Airport Road,Delivery,300,Delivery
Yes,No,4.1 /5,789,BTM,Quick Bites,300,Delivery
Yes,No,4.1 /5,359,HSR,Quick Bites,600,Delivery
Yes,No,3.8 /5,40,BTM,"Takeaway, Delivery",250,Delivery
Yes,No,3.7 /5,217,BTM,Quick Bites,200,Delivery
Yes,No,3.8 /5,1080,BTM,Casual Dining,500,Delivery
Yes,No,4.0 /5,413,Koramangala 5th Block,Quick Bites,300,Delivery
Yes,No,4.1 /5,212,Koramangala 8th Block,Beverage Shop,150,Delivery
Yes,No,4.0 /5,201,BTM,Quick Bites,300,Delivery
Yes,No,3.9 /5,641,Old Airport Road,Quick Bites,400,Delivery
Yes,No,4.1 /5,18,BTM,Bakery,200,Delivery
Yes,No,3.7 /5,219,Koramangala 5th Block,"Quick Bites, Food Court",600,Delivery
Yes,No,4.1 /5,189,BTM,Quick Bites,400,Delivery
Yes,No,4.2 /5,469,BTM,Quick Bites,400,Delivery
Yes,No,4.3 /5,1593,Koramangala 5th Block,Casual Dining,550,Delivery
Yes,No,4.0 /5,88,Koramangala 5th Block,Quick Bites,400,Delivery
Yes,No,4.1 /5,6948,Koramangala 5th Block,Casual Dining,750,Delivery
Yes,No,3.7 /5,17,Koramangala 5th Block,Quick Bites,250,Delivery
Yes,No,4.1 /5,133,BTM,Quick Bites,150,Delivery
Yes,No,3.7 /5,479,BTM,Quick Bites,450,Delivery
Yes,No,4.3 /5,83,HSR,Casual Dining,650,Delivery
Yes,No,4.0 /5,461,Koramangala 8th Block,Quick Bites,500,Delivery
Yes,No,3.4 /5,99,Koramangala 8th Block,Bakery,400,Delivery
Yes,No,4.6 /5,278,Koramangala 5th Block,Dessert Parlor,400,Delivery
Yes,No,3.6 /5,140,HSR,"Takeaway, Delivery",300,Delivery
Yes,No,4.0 /5,108,Koramangala 1st Block,Casual Dining,500,Delivery
Yes,No,3.7 /5,175,HSR,"Takeaway, Delivery",400,Delivery
Yes,No,3.9 /5,232,BTM,"Takeaway, Delivery",400,Delivery
Yes,No,3.7 /5,25,HSR,"Takeaway, Delivery",200,Delivery
Yes,No,3.9 /5,297,Koramangala 4th Block,"Takeaway, Delivery",400,Delivery
Yes,No,3.9 /5,332,Koramangala 1st Block,Casual Dining,600,Delivery
Yes,No,3.9 /5,193,BTM,Quick Bites,600,Delivery
Yes,No,,0,HSR,"Takeaway, Delivery",400,Delivery
Yes,Yes,4.1 /5,1342,HSR,Casual Dining,800,Delivery
Yes,No,3.7 /5,129,Koramangala 8th Block,Beverage Shop,150,Delivery
Yes,No,3.9 /5,66,BTM,Quick Bites,700,Delivery
Yes,No,3.8 /5,8,HSR,Quick Bites,300,Delivery
Yes,No,3.9 /5,293,Koramangala 6th Block,Kiosk,250,Delivery
Yes,No,4.2 /5,557,Koramangala 5th Block,Quick Bites,400,Delivery
Yes,No,3.2 /5,55,BTM,Quick Bites,300,Delivery
Yes,No,3.6 /5,112,Richmond Road,Quick Bites,500,Delivery
Yes,No,3.7 /5,22,Koramangala 5th Block,Quick Bites,750,Delivery
Yes,No,4.1 /5,725,Koramangala 6th Block,Delivery,700,Delivery
Yes,No,4.0 /5,138,Koramangala 8th Block,Quick Bites,250,Delivery
Yes,No,3.3 /5,16,HSR,"Takeaway, Delivery",400,Delivery
Yes,No,2.6 /5,175,BTM,Casual Dining,450,Delivery
Yes,No,3.9 /5,9,HSR,"Takeaway, Delivery",400,Delivery
Yes,No,3.9 /5,421,BTM,Casual Dining,800,Delivery
Yes,No,3.9 /5,234,Koramangala 1st Block,"Takeaway, Delivery",250,Delivery
Yes,No,4.2 /5,429,Koramangala 1st Block,Quick Bites,250,Delivery
Yes,No,3.9 /5,490,Koramangala 6th Block,Casual Dining,750,Delivery
Yes,No,3.8 /5,100,BTM,Casual Dining,350,Delivery
Yes,No,4.4 /5,7234,Koramangala 5th Block,Casual Dining,600,Delivery
Yes,No,4.1 /5,1963,Koramangala 6th Block,Quick Bites,600,Delivery
Yes,No,3.3 /5,50,Koramangala 5th Block,Quick Bites,300,Delivery
Yes,Yes,4.1 /5,1250,Koramangala 5th Block,Casual Dining,600,Delivery
Yes,No,3.9 /5,333,BTM,Cafe,200,Delivery
Yes,No,3.4 /5,356,Ejipura,Quick Bites,350,Delivery
Yes,No,3.8 /5,92,BTM,Delivery,400,Delivery
Yes,Yes,4.4 /5,9080,Koramangala 4th Block,"Casual Dining, Cafe",600,Delivery
Yes,No,2.9 /5,323,Domlur,Casual Dining,1000,Delivery
Yes,No,3.2 /5,21,BTM,"Takeaway, Delivery",600,Delivery
Yes,No,3.9 /5,21,BTM,"Takeaway, Delivery",300,Delivery
Yes,No,4.3 /5,3618,Koramangala 6th Block,Quick Bites,400,Delivery
Yes,No,4.2 /5,41,HSR,"Takeaway, Delivery",200,Delivery
Yes,No,3.9 /5,468,BTM,Casual Dining,700,Delivery
Yes,No,4.2 /5,1077,Koramangala 5th Block,Sweet Shop,400,Delivery
Yes,No,4.5 /5,345,Koramangala 5th Block,"Dessert Parlor, Cafe",300,Delivery
Yes,No,3.3 /5,25,Bannerghatta Road,Casual Dining,600,Delivery
Yes,No,4.0 /5,198,Koramangala 4th Block,Quick Bites,500,Delivery
Yes,No,3.7 /5,93,Koramangala 6th Block,Quick Bites,300,Delivery
Yes,No,3.5 /5,8,BTM,Delivery,600,Delivery
Yes,No,3.7 /5,630,HSR,Quick Bites,400,Delivery
Yes,No,4.3 /5,894,Domlur,Delivery,500,Delivery
Yes,No,3.1 /5,32,BTM,"Takeaway, Delivery",400,Delivery
Yes,No,3.9 /5,161,Koramangala 1st Block,Delivery,650,Delivery
Yes,No,3.5 /5,139,BTM,"Takeaway, Delivery",500,Delivery
Yes,No,3.9 /5,58,BTM,Quick Bites,300,Delivery
Yes,No,3.8 /5,883,BTM,Quick Bites,500,Delivery
Yes,No,3.7 /5,77,HSR,Beverage Shop,200,Delivery
Yes,No,3.8 /5,351,HSR,Quick Bites,300,Delivery
Yes,No,3.9 /5,327,Koramangala 6th Block,Casual Dining,500,Delivery
Yes,Yes,4.0 /5,1134,Indiranagar,Casual Dining,1000,Delivery
Yes,No,4.2 /5,972,Koramangala 5th Block,Quick Bites,200,Delivery
Yes,No,4.1 /5,192,Koramangala 8th Block,Delivery,750,Delivery
Yes,No,3.8 /5,16,Koramangala 6th Block,Quick Bites,250,Delivery
Yes,No,3.7 /5,185,BTM,Quick Bites,400,Delivery
Yes,No,3.3 /5,50,BTM,Dhaba,400,Delivery
Yes,No,3.8 /5,53,Koramangala 7th Block,Quick Bites,350,Delivery
Yes,Yes,4.1 /5,2727,BTM,Casual Dining,800,Delivery
Yes,No,4.0 /5,115,BTM,Quick Bites,400,Delivery
Yes,No,2.3 /5,298,Bommanahalli,Quick Bites,450,Delivery
Yes,No,2.5 /5,47,Bommanahalli,Casual Dining,800,Delivery
Yes,No,3.4 /5,16,BTM,Quick Bites,600,Delivery
Yes,No,3.9 /5,52,BTM,Quick Bites,300,Delivery
Yes,No,3.8 /5,261,BTM,Casual Dining,500,Delivery
Yes,No,3.3 /5,23,BTM,"Takeaway, Delivery",600,Delivery
Yes,No,2.9 /5,343,BTM,"Takeaway, Delivery",450,Delivery
Yes,No,3.7 /5,181,BTM,Quick Bites,400,Delivery
Yes,No,3.9 /5,129,HSR,Casual Dining,600,Delivery
Yes,No,3.9 /5,371,HSR,Casual Dining,550,Delivery
Yes,No,4.0 /5,102,BTM,Casual Dining,600,Delivery
Yes,No,3.9 /5,327,Bannerghatta Road,Casual Dining,650,Delivery
Yes,No,3.9 /5,192,BTM,Quick Bites,300,Delivery
Yes,No,3.7 /5,23,BTM,Quick Bites,400,Delivery
Yes,No,3.3 /5,9,Richmond Road,Quick Bites,300,Delivery
Yes,No,3.9 /5,1190,BTM,Quick Bites,500,Delivery
Yes,No,4.3 /5,286,HSR,Quick Bites,150,Delivery
Yes,No,4.0 /5,65,HSR,Casual Dining,300,Delivery
Yes,No,3.2 /5,294,HSR,Casual Dining,600,Delivery
Yes,No,3.7 /5,26,BTM,Quick Bites,400,Delivery
Yes,No,4.3 /5,656,Koramangala 6th Block,Quick Bites,250,Delivery
Yes,No,3.6 /5,504,Koramangala 1st Block,Delivery,500,Delivery
Yes,No,3.9 /5,184,HSR,Delivery,600,Delivery
Yes,No,4.2 /5,1023,HSR,Dessert Parlor,500,Delivery
Yes,No,3.7 /5,14,BTM,Quick Bites,400,Delivery
Yes,No,3.3 /5,38,Koramangala 1st Block,Delivery,400,Delivery
Yes,No,4.3 /5,341,Koramangala 5th Block,Casual Dining,800,Delivery
Yes,No,3.7 /5,48,Wilson Garden,Quick Bites,350,Delivery
Yes,No,3.5 /5,29,Old Airport Road,Quick Bites,350,Delivery
Yes,No,4.0 /5,758,Hosur Road,Quick Bites,250,Delivery
Yes,No,3.6 /5,221,BTM,Casual Dining,600,Delivery
Yes,No,3.6 /5,383,Koramangala 5th Block,Casual Dining,600,Delivery
Yes,Yes,4.0 /5,236,Koramangala 5th Block,Casual Dining,800,Delivery
Yes,No,4.1 /5,1118,Koramangala 5th Block,Casual Dining,750,Delivery
Yes,No,3.9 /5,184,BTM,Quick Bites,300,Delivery
Yes,No,3.9 /5,226,BTM,Casual Dining,500,Delivery
Yes,No,3.7 /5,28,Wilson Garden,Quick Bites,350,Delivery
Yes,No,3.9 /5,462,Domlur,Casual Dining,600,Delivery
Yes,No,3.9 /5,43,Koramangala 6th Block,Quick Bites,300,Delivery
Yes,No,3.9 /5,463,HSR,Quick Bites,600,Delivery
Yes,No,3.7 /5,27,BTM,Quick Bites,400,Delivery
Yes,No,4.2 /5,701,Koramangala 4th Block,Delivery,450,Delivery
Yes,No,3.4 /5,6,Koramangala 1st Block,Delivery,450,Delivery
Yes,No,3.8 /5,28,Koramangala 1st Block,Quick Bites,400,Delivery
Yes,No,3.4 /5,17,Koramangala 4th Block,Quick Bites,400,Delivery
Yes,No,3.9 /5,375,Koramangala 1st Block,Casual Dining,750,Delivery
Yes,No,3.7 /5,30,BTM,Delivery,400,Delivery
Yes,No,4.2 /5,703,Koramangala 7th Block,Dessert Parlor,450,Delivery
Yes,No,4.0 /5,457,Koramangala 6th Block,Delivery,500,Delivery
Yes,No,3.7 /5,434,Koramangala 4th Block,Quick Bites,400,Delivery
Yes,No,3.8 /5,141,Koramangala 5th Block,Quick Bites,200,Delivery
Yes,No,3.7 /5,21,Koramangala 1st Block,Delivery,300,Delivery
Yes,No,4.1 /5,382,BTM,Quick Bites,250,Delivery
Yes,No,3.8 /5,36,Koramangala 1st Block,Quick Bites,300,Delivery
Yes,No,4.0 /5,94,HSR,Casual Dining,700,Delivery
Yes,No,3.7 /5,36,HSR,Quick Bites,250,Delivery
Yes,No,3.1 /5,18,BTM,Casual Dining,700,Delivery
Yes,No,3.7 /5,28,BTM,Quick Bites,500,Delivery
Yes,No,4.1 /5,511,Koramangala 6th Block,Dessert Parlor,500,Delivery
Yes,No,4.6 /5,121,Koramangala 1st Block,Dessert Parlor,300,Delivery
Yes,No,3.9 /5,48,HSR,Dessert Parlor,400,Delivery
Yes,Yes,4.1 /5,531,Indiranagar,Casual Dining,800,Delivery
Yes,No,3.8 /5,71,Koramangala 1st Block,"Takeaway, Delivery",500,Delivery
Yes,No,2.6 /5,74,Bommanahalli,Casual Dining,700,Delivery
Yes,No,3.6 /5,46,HSR,"Takeaway, Delivery",300,Delivery
Yes,No,4.1 /5,292,Koramangala 6th Block,Quick Bites,600,Delivery
Yes,No,3.3 /5,395,Koramangala 7th Block,Quick Bites,400,Delivery
Yes,No,3.2 /5,5,Ejipura,Quick Bites,300,Delivery
Yes,No,3.3 /5,9,Koramangala 4th Block,Delivery,400,Delivery
Yes,No,4.0 /5,18,BTM,Quick Bites,100,Delivery
Yes,No,4.3 /5,131,Indiranagar,Dessert Parlor,300,Delivery
Yes,No,3.6 /5,68,BTM,Quick Bites,300,Delivery
Yes,No,3.2 /5,68,HSR,Casual Dining,400,Delivery
Yes,No,2.9 /5,67,BTM,Casual Dining,200,Delivery
Yes,No,4.0 /5,201,Koramangala 5th Block,Cafe,800,Delivery
Yes,No,4.1 /5,113,BTM,Sweet Shop,400,Delivery
Yes,No,3.4 /5,15,HSR,"Takeaway, Delivery",400,Delivery
Yes,Yes,4.9 /5,2244,Koramangala 5th Block,"Casual Dining, Bar",1500,Delivery
Yes,No,4.1 /5,894,Koramangala 3rd Block,Cafe,800,Delivery
Yes,No,3.4 /5,17,BTM,Delivery,600,Delivery
Yes,No,4.1 /5,414,Koramangala 7th Block,"Beverage Shop, Quick Bites",300,Delivery
Yes,No,3.8 /5,37,HSR,Quick Bites,400,Delivery
Yes,No,3.9 /5,100,Jayanagar,Quick Bites,200,Delivery
Yes,No,3.8 /5,19,Koramangala 7th Block,Casual Dining,400,Delivery
Yes,No,3.9 /5,230,Koramangala 1st Block,Delivery,450,Delivery
Yes,No,3.9 /5,160,HSR,Quick Bites,300,Delivery
Yes,No,4.0 /5,403,HSR,Dessert Parlor,450,Delivery
Yes,No,4.4 /5,457,Indiranagar,Delivery,500,Delivery
Yes,No,4.0 /5,195,Koramangala 6th Block,Delivery,500,Delivery
Yes,No,3.6 /5,176,HSR,Delivery,400,Delivery
Yes,No,3.9 /5,231,Koramangala 1st Block,Delivery,400,Delivery
Yes,No,3.1 /5,269,HSR,Casual Dining,550,Delivery
Yes,No,4.3 /5,279,Koramangala 7th Block,Quick Bites,450,Delivery
Yes,Yes,4.4 /5,1808,Koramangala 4th Block,Casual Dining,1000,Delivery
Yes,No,3.9 /5,40,BTM,Beverage Shop,200,Delivery
Yes,No,4.1 /5,93,Koramangala 5th Block,Cafe,600,Delivery
Yes,No,3.9 /5,179,Koramangala 6th Block,Delivery,300,Delivery
Yes,No,3.5 /5,124,HSR,Casual Dining,550,Delivery
Yes,No,3.7 /5,72,Indiranagar,Delivery,300,Delivery
Yes,No,4.1 /5,1962,Koramangala 6th Block,Casual Dining,650,Delivery
Yes,No,4.4 /5,363,Koramangala 6th Block,Cafe,500,Delivery
Yes,No,4.0 /5,1113,Koramangala 4th Block,Delivery,500,Delivery
Yes,No,4.5 /5,2072,HSR,Casual Dining,1200,Delivery
Yes,No,4.1 /5,314,Koramangala 1st Block,"Takeaway, Delivery",650,Delivery
Yes,No,3.6 /5,14,BTM,Quick Bites,200,Delivery
Yes,No,4.0 /5,212,Koramangala 4th Block,Quick Bites,400,Delivery
Yes,No,3.2 /5,86,Domlur,Quick Bites,600,Delivery
Yes,No,3.4 /5,47,BTM,Quick Bites,200,Delivery
Yes,No,3.3 /5,13,HSR,"Takeaway, Delivery",400,Delivery
Yes,No,4.0 /5,270,Koramangala 1st Block,Quick Bites,450,Delivery
Yes,No,3.5 /5,47,Domlur,Delivery,300,Delivery
Yes,No,3.7 /5,329,BTM,"Takeaway, Delivery",500,Delivery
Yes,No,3.7 /5,118,BTM,Quick Bites,400,Delivery
Yes,No,3.8 /5,62,BTM,Quick Bites,300,Delivery
Yes,No,3.2 /5,15,Koramangala 6th Block,,250,Delivery
Yes,No,4.1 /5,322,Koramangala 6th Block,Quick Bites,600,Delivery
Yes,No,NEW,0,HSR,"Takeaway, Delivery",350,Delivery
Yes,No,4.0 /5,960,Koramangala 7th Block,Casual Dining,500,Delivery
Yes,Yes,4.6 /5,5436,Indiranagar,Casual Dining,1600,Delivery
Yes,No,4.1 /5,95,BTM,Delivery,600,Delivery
Yes,No,4.2 /5,114,BTM,Quick Bites,300,Delivery
Yes,No,3.8 /5,66,Koramangala 5th Block,Casual Dining,800,Delivery
Yes,No,3.9 /5,501,Koramangala 6th Block,Quick Bites,300,Delivery
Yes,No,3.6 /5,48,HSR,"Takeaway, Delivery",300,Delivery
Yes,No,3.4 /5,7,BTM,"Takeaway, Delivery",200,Delivery
Yes,No,4.0 /5,62,Indiranagar,Delivery,400,Delivery
Yes,No,3.9 /5,162,Old Airport Road,Quick Bites,40,Delivery
Yes,No,3.6 /5,8,Domlur,Delivery,250,Delivery
Yes,No,3.8 /5,32,BTM,"Food Court, Dessert Parlor",200,Delivery
Yes,No,3.6 /5,11,BTM,Beverage Shop,200,Delivery
Yes,No,3.6 /5,16,BTM,Quick Bites,300,Delivery
Yes,No,3.5 /5,433,Koramangala 1st Block,Delivery,500,Delivery
Yes,No,4.1 /5,616,Koramangala 7th Block,Casual Dining,500,Delivery
Yes,No,3.5 /5,117,HSR,Casual Dining,600,Delivery
Yes,No,3.6 /5,218,HSR,Quick Bites,400,Delivery
Yes,No,3.2 /5,115,HSR,Casual Dining,700,Delivery
Yes,No,4.3 /5,190,Koramangala 4th Block,Bakery,400,Delivery
Yes,No,3.9 /5,151,HSR,Dessert Parlor,300,Delivery
Yes,No,4.0 /5,314,Koramangala 5th Block,Casual Dining,800,Delivery
Yes,Yes,3.9 /5,74,BTM,Casual Dining,900,Delivery
Yes,No,4.3 /5,246,Koramangala 5th Block,Quick Bites,600,Delivery
Yes,Yes,4.2 /5,1155,HSR,Casual Dining,1800,Delivery
Yes,No,4.1 /5,168,Koramangala 5th Block,Delivery,300,Delivery
Yes,No,3.4 /5,55,BTM,Delivery,500,Delivery
Yes,No,,0,BTM,Quick Bites,350,Delivery
Yes,No,4.2 /5,56,Koramangala 5th Block,Beverage Shop,400,Delivery
Yes,Yes,4.5 /5,816,BTM,Casual Dining,800,Delivery
Yes,No,3.2 /5,128,Domlur,Mess,400,Delivery
Yes,No,4.0 /5,870,BTM,Delivery,500,Delivery
Yes,No,4.0 /5,48,Koramangala 5th Block,Beverage Shop,400,Delivery
Yes,No,3.8 /5,11,BTM,Beverage Shop,150,Delivery
Yes,Yes,4.2 /5,1705,Koramangala 5th Block,Cafe,650,Delivery
Yes,No,4.0 /5,39,BTM,"Dessert Parlor, Beverage Shop",300,Delivery
Yes,No,4.1 /5,87,Koramangala 6th Block,Cafe,700,Delivery
Yes,No,4.2 /5,534,Koramangala 7th Block,Quick Bites,450,Delivery
Yes,No,3.7 /5,16,Domlur,Casual Dining,600,Delivery
Yes,No,3.9 /5,172,BTM,Quick Bites,300,Delivery
Yes,No,3.1 /5,7,BTM,"Takeaway, Delivery",400,Delivery
Yes,No,4.5 /5,2621,Koramangala 5th Block,"Dessert Parlor, Cafe",500,Delivery
Yes,No,3.6 /5,11,BTM,Quick Bites,200,Delivery
Yes,No,4.1 /5,57,Koramangala 1st Block,"Beverage Shop, Quick Bites",200,Delivery
Yes,No,3.0 /5,7,HSR,Quick Bites,300,Delivery
Yes,No,3.7 /5,16,HSR,"Takeaway, Delivery",150,Delivery
